best_num,best_clust,true_clust,seed
3,0,3,0
3,1,2,0
3,1,2,0
3,0,3,0
3,1,2,0
3,1,2,0
3,2,1,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,1,2,0
3,2,1,0
3,1,2,0
3,0,3,0
3,2,1,0
3,1,2,0
3,2,1,0
3,0,3,0
3,2,1,0
3,2,1,0
3,1,3,0
3,0,3,0
3,0,3,0
3,1,2,0
3,0,3,0
3,2,1,0
3,0,3,0
3,0,3,0
3,0,3,0
3,1,2,0
3,1,2,0
3,0,3,0
3,1,2,0
3,2,1,0
3,1,2,0
3,0,3,0
3,0,3,0
3,0,3,0
3,2,1,0
3,1,2,0
3,2,1,0
3,1,2,0
3,2,1,0
3,0,3,0
3,0,3,0
3,2,1,0
3,0,3,0
3,0,3,0
3,2,1,0
3,2,1,0
3,1,2,0
3,0,3,0
3,2,1,0
3,0,3,0
3,1,2,0
3,1,2,0
3,0,3,0
3,1,2,0
3,2,1,0
3,1,2,0
3,2,1,0
3,2,1,0
3,1,2,0
3,1,2,0
3,2,1,0
3,2,1,0
3,2,1,0
3,1,2,0
3,1,2,0
3,1,2,0
3,2,1,0
3,0,3,0
3,2,1,0
3,0,3,0
3,1,2,0
3,1,2,0
3,2,1,0
3,2,1,0
3,1,2,0
3,1,2,0
3,0,3,0
3,0,3,0
3,2,1,0
3,0,3,0
3,2,1,0
3,0,3,0
3,0,3,0
3,1,2,0
3,1,2,0
3,0,3,0
3,1,2,0
3,0,3,0
3,2,1,0
3,1,2,0
3,1,2,0
3,1,2,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,1,2,0
3,1,2,0
3,1,2,0
3,0,3,0
3,0,3,0
3,0,3,0
3,1,3,0
3,1,2,0
3,1,2,0
3,1,2,0
3,0,3,0
3,2,1,0
3,2,1,0
3,2,1,0
3,1,2,0
3,1,3,0
3,0,3,0
3,1,2,0
3,2,1,0
3,1,2,0
3,0,3,0
3,2,1,0
3,0,3,0
3,0,3,0
3,2,1,0
3,0,3,0
3,2,1,0
3,0,3,0
3,2,1,0
3,1,2,0
3,1,2,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,2,1,0
3,2,1,0
3,2,1,0
3,2,1,0
3,1,2,0
3,2,1,0
3,1,2,0
3,1,2,0
3,0,3,0
3,2,1,0
3,0,3,0
3,1,2,0
3,2,1,0
3,2,1,0
3,2,1,0
3,2,1,0
3,0,3,0
3,0,3,0
3,2,1,0
3,1,2,0
3,2,1,0
3,0,3,0
3,2,1,0
3,1,2,0
3,1,3,0
3,0,3,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,2,1,0
3,1,2,0
3,0,3,0
3,2,1,0
3,2,1,0
3,1,2,0
3,1,3,0
3,0,3,0
3,2,1,0
3,1,2,0
3,1,2,0
3,1,2,0
3,2,1,0
3,0,3,0
3,0,3,0
3,1,2,0
3,1,2,0
3,0,3,0
3,0,3,0
3,2,1,0
3,2,1,0
3,0,3,0
3,2,1,0
3,0,3,0
3,1,2,0
3,0,3,0
3,2,1,0
3,2,1,0
3,2,1,0
3,1,2,0
3,1,2,0
3,0,3,0
3,1,2,0
3,0,3,0
3,0,3,0
3,2,1,0
3,2,1,0
3,1,2,0
3,0,3,0
3,2,1,0
3,1,2,0
3,1,2,0
3,1,2,0
3,0,3,0
3,1,2,0
3,0,3,0
3,2,1,0
3,1,3,0
3,2,1,0
3,0,3,0
3,1,2,0
3,0,3,0
3,2,1,0
3,2,1,0
3,2,1,0
3,0,3,0
3,0,3,0
3,2,1,0
3,1,2,0
3,2,1,0
3,0,3,0
3,0,3,0
3,2,1,0
3,2,1,0
3,2,1,0
3,2,1,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,0,3,0
3,2,1,0
3,0,3,0
3,1,2,0
3,2,1,0
3,2,1,0
3,1,2,0
3,0,3,0
3,0,3,0
3,1,2,0
3,0,3,1
3,1,1,1
3,0,3,1
3,0,3,1
3,2,2,1
3,0,3,1
3,1,1,1
3,1,1,1
3,2,2,1
3,2,2,1
3,2,2,1
3,2,2,1
3,0,3,1
3,1,1,1
3,2,3,1
3,1,1,1
3,2,2,1
3,2,2,1
3,2,2,1
3,0,3,1
3,2,2,1
3,1,1,1
3,0,3,1
3,2,3,1
3,0,3,1
3,0,3,1
3,1,1,1
3,2,3,1
3,0,3,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,0,3,1
3,1,1,1
3,2,2,1
3,0,3,1
3,1,1,1
3,0,3,1
3,0,3,1
3,1,1,1
3,0,3,1
3,2,2,1
3,2,2,1
3,1,1,1
3,0,3,1
3,2,2,1
3,2,2,1
3,1,1,1
3,1,1,1
3,0,3,1
3,1,1,1
3,0,3,1
3,0,3,1
3,2,2,1
3,1,1,1
3,1,1,1
3,0,3,1
3,0,3,1
3,2,2,1
3,2,2,1
3,0,3,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,0,3,1
3,2,2,1
3,1,1,1
3,2,2,1
3,2,2,1
3,1,1,1
3,1,1,1
3,2,2,1
3,1,1,1
3,1,1,1
3,0,3,1
3,0,3,1
3,1,1,1
3,0,3,1
3,1,1,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,2,2,1
3,2,2,1
3,0,3,1
3,1,1,1
3,0,3,1
3,1,1,1
3,2,3,1
3,2,2,1
3,0,3,1
3,0,3,1
3,1,1,1
3,1,1,1
3,2,3,1
3,2,2,1
3,0,3,1
3,2,3,1
3,0,3,1
3,1,1,1
3,1,1,1
3,1,1,1
3,0,3,1
3,1,1,1
3,1,1,1
3,0,3,1
3,1,1,1
3,0,3,1
3,2,2,1
3,1,1,1
3,2,3,1
3,0,3,1
3,2,3,1
3,0,3,1
3,1,1,1
3,2,2,1
3,1,1,1
3,1,1,1
3,1,1,1
3,2,2,1
3,2,3,1
3,2,3,1
3,0,3,1
3,2,2,1
3,2,2,1
3,2,2,1
3,1,1,1
3,1,1,1
3,2,2,1
3,0,3,1
3,1,1,1
3,1,1,1
3,0,3,1
3,0,3,1
3,2,2,1
3,1,1,1
3,0,3,1
3,2,2,1
3,2,2,1
3,2,2,1
3,1,1,1
3,0,3,1
3,2,2,1
3,1,1,1
3,0,3,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,0,3,1
3,1,1,1
3,2,3,1
3,1,1,1
3,2,2,1
3,2,2,1
3,1,1,1
3,2,2,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,1,1,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,3,1
3,0,3,1
3,2,2,1
3,1,1,1
3,1,1,1
3,2,2,1
3,0,3,1
3,1,1,1
3,1,1,1
3,1,1,1
3,2,2,1
3,2,2,1
3,2,3,1
3,2,2,1
3,1,1,1
3,2,2,1
3,0,3,1
3,2,2,1
3,1,1,1
3,0,3,1
3,2,2,1
3,0,3,1
3,0,3,1
3,1,1,1
3,0,3,1
3,0,3,1
3,2,3,1
3,2,2,1
3,2,3,1
3,0,3,1
3,1,1,1
3,2,2,1
3,1,1,1
3,1,1,1
3,2,2,1
3,2,3,1
3,1,1,1
3,1,1,1
3,1,1,1
3,0,3,1
3,1,1,1
3,1,1,1
3,2,2,1
3,1,1,1
3,2,2,1
3,2,2,1
3,0,3,1
3,1,1,1
3,2,3,1
3,2,3,1
3,2,2,1
3,0,3,1
3,2,2,1
3,2,3,1
3,0,3,1
3,0,3,1
3,2,2,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,0,3,1
3,0,3,1
3,2,3,1
3,2,2,1
3,1,1,1
3,0,3,1
3,0,3,1
3,1,1,1
3,0,1,2
3,0,1,2
3,1,3,2
3,2,2,2
3,2,2,2
3,2,2,2
3,0,1,2
3,2,2,2
3,0,1,2
3,0,1,2
3,1,3,2
3,1,3,2
3,0,1,2
3,0,1,2
3,1,3,2
3,2,2,2
3,1,3,2
3,1,3,2
3,2,2,2
3,2,3,2
3,0,1,2
3,0,1,2
3,2,2,2
3,0,1,2
3,0,1,2
3,1,3,2
3,1,3,2
3,2,2,2
3,2,2,2
3,0,1,2
3,2,2,2
3,0,1,2
3,0,1,2
3,1,3,2
3,1,3,2
3,1,3,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,0,1,2
3,0,1,2
3,0,1,2
3,2,2,2
